in s,C1 in V,C2 in V
-1.100400E-03,-4.08398E-02,9.72175E-01
-1.100160E-03,-4.08398E-02,9.94246E-01
-1.099920E-03,-4.37695E-02,9.83210E-01
-1.099680E-03,-4.08398E-02,9.72175E-01
-1.099440E-03,-4.08398E-02,9.61140E-01
-1.099200E-03,-4.27930E-02,9.72175E-01
-1.098960E-03,-3.98633E-02,9.72175E-01
-1.098720E-03,-3.98633E-02,9.88728E-01
-1.098480E-03,-3.88867E-02,9.77693E-01
-1.098240E-03,-4.08398E-02,9.94246E-01
-1.098000E-03,-4.47461E-02,9.88728E-01
-1.097760E-03,-3.69336E-02,9.88728E-01
-1.097520E-03,-3.79102E-02,9.72175E-01
-1.097280E-03,-3.98633E-02,9.88728E-01
-1.097040E-03,-3.98633E-02,9.77693E-01
-1.096800E-03,-4.08398E-02,9.99763E-01
-1.096560E-03,-4.08398E-02,1.01632E+00
-1.096320E-03,-3.98633E-02,1.00528E+00
-1.096080E-03,-4.27930E-02,9.99763E-01
-1.095840E-03,-3.88867E-02,1.00528E+00
-1.095600E-03,-3.59570E-02,1.01632E+00
-1.095360E-03,-4.08398E-02,1.02735E+00
-1.095120E-03,-4.08398E-02,1.01080E+00
-1.094880E-03,-3.98633E-02,1.01080E+00
-1.094640E-03,-4.08398E-02,1.01632E+00
-1.094400E-03,-4.18164E-02,1.00528E+00
-1.094160E-03,-3.88867E-02,1.02183E+00
-1.093920E-03,-4.18164E-02,1.03287E+00
-1.093680E-03,-3.88867E-02,1.01080E+00
-1.093440E-03,-3.79102E-02,1.03287E+00
-1.093200E-03,-3.79102E-02,1.02183E+00
-1.092960E-03,-3.98633E-02,1.01632E+00
-1.092720E-03,-4.08398E-02,9.99763E-01
-1.092480E-03,-3.59570E-02,1.01632E+00
-1.092240E-03,-4.08398E-02,1.03287E+00
-1.092000E-03,-3.79102E-02,1.01632E+00
-1.091760E-03,-4.08398E-02,1.02735E+00
-1.091520E-03,-3.98633E-02,1.03839E+00
-1.091280E-03,-4.18164E-02,1.03839E+00
-1.091040E-03,-4.27930E-02,1.03287E+00
-1.090800E-03,-3.88867E-02,1.04390E+00
-1.090560E-03,-4.27930E-02,1.04942E+00
-1.090320E-03,-4.08398E-02,1.04390E+00
-1.090080E-03,-4.08398E-02,1.03287E+00
-1.089840E-03,-4.08398E-02,1.05494E+00
-1.089600E-03,-4.08398E-02,1.07701E+00
-1.089360E-03,-3.88867E-02,1.07701E+00
-1.089120E-03,-4.18164E-02,1.08253E+00
-1.088880E-03,-4.08398E-02,1.05494E+00
-1.088640E-03,-4.08398E-02,1.06597E+00
-1.088400E-03,-4.47461E-02,1.05494E+00
-1.088160E-03,-3.98633E-02,1.06597E+00
-1.087920E-03,-3.98633E-02,1.05494E+00
-1.087680E-03,-4.18164E-02,1.06046E+00
-1.087440E-03,-3.98633E-02,1.07701E+00
-1.087200E-03,-4.18164E-02,1.05494E+00
-1.086960E-03,-3.88867E-02,1.06597E+00
-1.086720E-03,-4.08398E-02,1.07701E+00
-1.086480E-03,-3.88867E-02,1.08253E+00
-1.086240E-03,-3.79102E-02,1.06046E+00
-1.086000E-03,-4.08398E-02,1.07701E+00
-1.085760E-03,-3.88867E-02,1.07701E+00
-1.085520E-03,-3.88867E-02,1.10460E+00
-1.085280E-03,-3.88867E-02,1.08804E+00
-1.085040E-03,-3.98633E-02,1.07149E+00
-1.084800E-03,-4.08398E-02,1.09356E+00
-1.084560E-03,-3.88867E-02,1.08804E+00
-1.084320E-03,-3.69336E-02,1.11011E+00
-1.084080E-03,-3.98633E-02,1.07701E+00
-1.083840E-03,-3.69336E-02,1.11011E+00
-1.083600E-03,-3.88867E-02,1.09908E+00
-1.083360E-03,-3.79102E-02,1.08804E+00
-1.083120E-03,-3.88867E-02,1.12115E+00
-1.082880E-03,-3.69336E-02,1.11011E+00
-1.082640E-03,-4.08398E-02,1.08804E+00
-1.082400E-03,-3.79102E-02,1.11011E+00
-1.082160E-03,-4.08398E-02,1.10460E+00
-1.081920E-03,-3.79102E-02,1.09908E+00
-1.081680E-03,-3.98633E-02,1.09908E+00
-1.081440E-03,-3.98633E-02,1.08804E+00
-1.081200E-03,-3.98633E-02,1.08804E+00
-1.080960E-03,-3.69336E-02,1.11563E+00
-1.080720E-03,-3.98633E-02,1.09356E+00
-1.080480E-03,-4.18164E-02,1.12667E+00
-1.080240E-03,-3.98633E-02,1.10460E+00
-1.080000E-03,-4.18164E-02,1.11563E+00
-1.079760E-03,-4.27930E-02,1.09908E+00
-1.079520E-03,-4.08398E-02,1.12667E+00
-1.079280E-03,-4.08398E-02,1.12667E+00
-1.079040E-03,-4.08398E-02,1.13218E+00
-1.078800E-03,-4.08398E-02,1.14874E+00
-1.078560E-03,-4.08398E-02,1.13218E+00
-1.078320E-03,-3.88867E-02,1.14322E+00
-1.078080E-03,-4.18164E-02,1.12667E+00
-1.077840E-03,-4.08398E-02,1.12667E+00
-1.077600E-03,-4.27930E-02,1.14322E+00
-1.077360E-03,-4.08398E-02,1.13770E+00
-1.077120E-03,-3.98633E-02,1.15977E+00
-1.076880E-03,-3.98633E-02,1.14322E+00
-1.076640E-03,-4.08398E-02,1.14874E+00
-1.076400E-03,-3.88867E-02,1.13770E+00
-1.076160E-03,-4.18164E-02,1.14874E+00
-1.075920E-03,-3.88867E-02,1.13218E+00
-1.075680E-03,-4.08398E-02,1.14874E+00
-1.075440E-03,-3.98633E-02,1.12115E+00
-1.075200E-03,-4.08398E-02,1.14322E+00
-1.074960E-03,-3.88867E-02,1.13770E+00
-1.074720E-03,-3.79102E-02,1.13218E+00
-1.074480E-03,-4.27930E-02,1.12667E+00
-1.074240E-03,-3.79102E-02,1.15426E+00
-1.074000E-03,-3.88867E-02,1.14874E+00
-1.073760E-03,-3.88867E-02,1.14322E+00
-1.073520E-03,-4.18164E-02,1.12115E+00
-1.073280E-03,-3.98633E-02,1.15977E+00
-1.073040E-03,-3.79102E-02,1.14874E+00
-1.072800E-03,-4.08398E-02,1.17633E+00
-1.072560E-03,-4.08398E-02,1.15426E+00
-1.072320E-03,-3.79102E-02,1.17633E+00
-1.072080E-03,-3.79102E-02,1.15977E+00
